x1,x2
제2321차 서산 테크노밸리 근린생활시설 신축사업 37차#1순위,"수익률(연)14.5%?투자기간1개월?등급C3?모집금액5,000만원?투자인원49명"
제2156차 전주 만성지구 나눔둥지타운 상가 신축사업 22차#1순위 #법인전용상품,"수익률(연)12%?투자기간9개월?등급B2?모집금액1억3,500만원?투자인원1명"
제2149차 인천 용현동 오피스텔 및 근린상가 신축사업 17차#1순위,수익률(연)12%?투자기간3개월?등급B1?모집금액2억원?투자인원497명
제2147차 서산 테크노밸리 근린생활시설 신축사업 36차#1순위,"수익률(연)14.5%?투자기간2개월?등급C3?모집금액5,000만원?투자인원55명"
제2146차 합천아파트 신축사업 리파이낸싱 2차#1순위,"수익률(연)12.98%?투자기간4개월?등급B2?모집금액20억원?투자인원2,911명"
제2109차 합천아파트 신축사업 리파이낸싱#1순위,"수익률(연)12.98%?투자기간4개월?등급B2?모집금액27억5,000만원?투자인원4,441명"
제2075차 하남 덕풍동 풍산아이파크아파트 담보상품#3순위,"수익률(연)9.5%?투자기간12개월?등급A3?모집금액6,000만원?투자인원131명"
제2060차 서울 서교동 다세대 신축사업 9차#2순위,"수익률(연)14%?투자기간7개월?등급D2?모집금액6,000만원?투자인원49명"
제2054차 인천 용현동 오피스텔 및 근린상가 신축사업 16차#1순위,수익률(연)12%?투자기간3개월?등급B1?모집금액1억원?투자인원82명
제2053차 서대문 북아현동 아현푸르지오아파트 리파이낸싱 2차#2순위,수익률(연)8%?투자기간6개월?등급A2?모집금액2억원?투자인원297명
제2048차 송파 문정동 삼익빌라 리파이낸싱 2차#2순위,"수익률(연)8.2%?투자기간6개월?등급A2?모집금액5,000만원?투자인원90명"
제2047차 서대문 북아현동 아현푸르지오아파트 리파이낸싱#2순위,"수익률(연)8%?투자기간6개월?등급A2?모집금액5,000만원?투자인원102명"
제2043차 송파 문정동 삼익빌라 리파이낸싱#2순위,"수익률(연)8.2%?투자기간6개월?등급A2?모집금액5,000만원?투자인원99명"
제2012차 서산 테크노밸리 근린생활시설 신축사업 35차#1순위,"수익률(연)14.5%?투자기간3개월?등급C3?모집금액3,000만원?투자인원20명"
제2011차 전주 만성지구 나눔둥지타운 상가 신축사업 19차#1순위 #법인전용상품,"수익률(연)12%?투자기간10개월?등급B2?모집금액1억5,900만원?투자인원1명"
제2003차 서울 서교동 다세대 신축사업 8차#2순위 #법인전용상품,수익률(연)14%?투자기간7개월?등급D2?모집금액1억원?투자인원1명
제1985차 진안군청 인근 연립주택 신축사업 2순위#2순위,수익률(연)14%?투자기간5개월?등급D2?모집금액5억원?투자인원828명
제1963차 동대문 답십리동 청계와이즈노벨리아아파트 담보상품#3순위,"수익률(연)8.7%?투자기간12개월?등급A2?모집금액5,000만원?투자인원146명"
제1957차 은평 응암동 백련산힐스테이트 3차아파트 담보상품 2차#3순위,"수익률(연)8.7%?투자기간12개월?등급A2?모집금액7,700만원?투자인원181명"
제1953차 제주 신화월드 인근 공동주택 신축사업 25차#1순위,"수익률(연)12.21%?투자기간3개월?등급B1?모집금액18억2,718만원?투자인원2,630명"
제1952차 제주 용수리 타운하우스 신축사업 리파이낸싱#1순위,"수익률(연)13.5%?투자기간3개월?등급B2?모집금액23억원?투자인원3,128명"
제1938차 고양 일산 하늘마을휴먼시아아파트 담보상품#2순위,"수익률(연)9.5%?투자기간12개월?등급A2?모집금액7,000만원?투자인원160명"
제1922차 은평 응암동 백련산힐스테이트3차아파트 담보상품#3순위,"수익률(연)8.7%?투자기간12개월?등급A2?모집금액5,300만원?투자인원174명"
제1910차 강서 등촌동 등촌아이파크아파트 담보상품#1순위,수익률(연)8.5%?투자기간12개월?등급A2?모집금액2억원?투자인원328명
제1899차 여주대 인근 기숙사형 다가구주택 D 신축사업 3차#1순위,"수익률(연)12.49%?투자기간6개월?등급B2?모집금액5억1,290만원?투자인원824명"
제1898차 여주대 인근 기숙사형 다가구주택 C 신축사업 7차#1순위,"수익률(연)12.63%?투자기간8개월?등급B3?모집금액4억7,190만원?투자인원820명"
제1895차 여주대 인근 기숙사형 다가구주택 B 신축사업 4차#1순위,"수익률(연)12.77%?투자기간8개월?등급B3?모집금액4억6,190만원?투자인원776명"
제1894차 여주대 인근 기숙사형 다가구주택 A 신축사업 5차#1순위,"수익률(연)12.77%?투자기간6개월?등급B3?모집금액1억2,860만원?투자인원200명"
제1883차 하남 덕풍동 풍산아이파크아파트 담보상품#2순위,"수익률(연)9.2%?투자기간12개월?등급A2?모집금액3,000만원?투자인원47명"
제1866차 서산 테크노밸리 근린생활시설 신축사업 34차#1순위,수익률(연)14.5%?투자기간4개월?등급C3?모집금액1억원?투자인원164명
제1862차 합천아파트 신축사업 2순위 2차#2순위,"수익률(연)14.5%?투자기간6개월?등급D2?모집금액2억5,000만원?투자인원411명"
제1851차 서울 서교동 다세대 신축사업 7차#2순위 #법인전용상품,수익률(연)14%?투자기간8개월?등급D2?모집금액1억원?투자인원1명
제1835차 서울 서교동 다세대 신축사업 6차#2순위,"수익률(연)14%?투자기간8개월?등급D2?모집금액1억5,000만원?투자인원212명"
제1822차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 6차#2순위,"수익률(연)9%?투자기간11개월?등급A2?모집금액1,800만원?투자인원51명"
제1814차 제주 신화월드 인근 공동주택 신축사업 24차#1순위,"수익률(연)12.21%?투자기간4개월?등급B1?모집금액4억5,000만원?투자인원958명"
제1803차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 5차#2순위,"수익률(연)9%?투자기간11개월?등급A2?모집금액3,600만원?투자인원119명"
제1790차 서산 테크노밸리 근린생활시설 신축사업 33차#1순위,"수익률(연)14.5%?투자기간4개월?등급C3?모집금액5,000만원?투자인원63명"
제1783차 여주대 인근 기숙사형 다가구주택 C 신축사업 6차#1순위,"수익률(연)12.63%?투자기간8개월?등급B3?모집금액9,200만원?투자인원166명"
제1782차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 4차#2순위,"수익률(연)9%?투자기간11개월?등급A2?모집금액6,000만원?투자인원123명"
제1776차 여주대 인근 기숙사형 다가구주택 C 신축사업 5차#1순위,"수익률(연)12.63%?투자기간8개월?등급B3?모집금액1억4,500만원?투자인원326명"
제1772차 은평 응암동 백련산힐스테이트 담보상품#3순위,"수익률(연)8.7%?투자기간12개월?등급A2?모집금액7,000만원?투자인원138명"
제1771차 제주 신화월드 인근 공동주택 신축사업 23차#1순위,"수익률(연)12.21%?투자기간4개월?등급B1?모집금액12억원?투자인원1,572명"
제1767차 여주대 인근 기숙사형 다가구주택 C 신축사업 4차#1순위,"수익률(연)12.63%?투자기간8개월?등급B3?모집금액1억3,780만원?투자인원310명"
제1765차 하남 덕풍동 풍산아이파크아파트 담보상품#1순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액2억8,000만원?투자인원497명"
제1763차 서초 방배동 현대멤피스아파트 담보상품#2순위,수익률(연)8.5%?투자기간12개월?등급A2?모집금액3억원?투자인원486명
제1762차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 3차#2순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액3,300만원?투자인원88명"
제1752차 수원 북수동 상가주택 신축사업A 9차#2순위 #법인전용상품,"수익률(연)15%?투자기간5개월?등급D2?모집금액2,000만원?투자인원1명"
제1743차 수원 북수동 상가주택 신축사업A 8차#2순위,"수익률(연)15%?투자기간5개월?등급D2?모집금액3,000만원?투자인원35명"
