x1,x2
제1578차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 5차#1순위 #법인전용상품,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액4억3,000만원?투자인원2명"
제1574차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 4차#1순위 #법인전용상품,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액3,000만원?투자인원1명"
제1564차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 3차#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액9억9,912만원?투자인원1,518명"
제1558차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 2차#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,394명"
제1554차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,583명"
제1516차 가평 연립주택B 신축사업 12차#1순위,"수익률(연)12.7%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원159명"
제1470차 일산 고양국제고 인근 다세대E 신축 17차#1순위,"수익률(연)12.5%?투자기간3개월?등급B2?모집금액7,000만원?투자인원83명"
제1448차 가평 연립주택B 신축사업 11차#1순위,"수익률(연)12.7%?투자기간4개월?등급B2?모집금액5,000만원?투자인원68명"
제1411차 가평 연립주택B 신축사업 10차#1순위,"수익률(연)12.7%?투자기간4개월?등급B2?모집금액2억5,000만원?투자인원644명"
제1394차 일산 고양국제고 인근 다세대E 신축 16차#1순위,"수익률(연)12.5%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원223명"
제1355차 태안 버스터미널 인근 다세대 신축 리파이낸싱 3차#1순위,"수익률(연)14%?투자기간6개월?등급C1?모집금액8억4,000만원?투자인원1,494명"
제1342차 태안 버스터미널 인근 다세대 신축 리파이낸싱 2차#1순위,"수익률(연)14%?투자기간7개월?등급C1?모집금액10억원?투자인원1,737명"
