"x1","x2","번호","지역","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET"
"제2321차 서산 테크노밸리 근린생활시설 신축사업 37차#1순위","수익률(연)14.5%?투자기간1개월?등급C3?모집금액5,000만원?투자인원49명",2321,"서산","테크노밸리",1,37,14.5,1,"C3",5000,49,"상환완료"
"제2149차 인천 용현동 오피스텔 및 근린상가 신축사업 17차#1순위","수익률(연)12%?투자기간3개월?등급B1?모집금액2억원?투자인원497명",2149,"인천","용현동",1,17,12,3,"B1",20000,497,"상환완료"
"제2147차 서산 테크노밸리 근린생활시설 신축사업 36차#1순위","수익률(연)14.5%?투자기간2개월?등급C3?모집금액5,000만원?투자인원55명",2147,"서산","테크노밸리",1,36,14.5,2,"C3",5000,55,"상환완료"
"제2146차 합천아파트 신축사업 리파이낸싱 2차#1순위","수익률(연)12.98%?투자기간4개월?등급B2?모집금액20억원?투자인원2,911명",2146,"합천아파트","신축사업",1,2,12.98,4,"B2",20,2911,"상환완료"
"제2109차 합천아파트 신축사업 리파이낸싱#1순위","수익률(연)12.98%?투자기간4개월?등급B2?모집금액27억5,000만원?투자인원4,441명",2109,"합천아파트","신축사업",1,1,12.98,4,"B2",275000,4441,"상환완료"
"제2075차 하남 덕풍동 풍산아이파크아파트 담보상품#3순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액6,000만원?투자인원131명",2075,"하남","덕풍동",3,1,9.5,12,"A3",6000,131,"상환완료"
"제2060차 서울 서교동 다세대 신축사업 9차#2순위","수익률(연)14%?투자기간7개월?등급D2?모집금액6,000만원?투자인원49명",2060,"서울","서교동",2,9,14,7,"D2",6000,49,"상환완료"
"제2054차 인천 용현동 오피스텔 및 근린상가 신축사업 16차#1순위","수익률(연)12%?투자기간3개월?등급B1?모집금액1억원?투자인원82명",2054,"인천","용현동",1,16,12,3,"B1",10000,82,"상환완료"
"제2053차 서대문 북아현동 아현푸르지오아파트 리파이낸싱 2차#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액2억원?투자인원297명",2053,"서대문","북아현동",2,2,8,6,"A2",20000,297,"상환완료"
"제2048차 송파 문정동 삼익빌라 리파이낸싱 2차#2순위","수익률(연)8.2%?투자기간6개월?등급A2?모집금액5,000만원?투자인원90명",2048,"송파","문정동",2,2,8.2,6,"A2",5000,90,"상환완료"
"제2047차 서대문 북아현동 아현푸르지오아파트 리파이낸싱#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액5,000만원?투자인원102명",2047,"서대문","북아현동",2,1,8,6,"A2",5000,102,"상환완료"
"제2043차 송파 문정동 삼익빌라 리파이낸싱#2순위","수익률(연)8.2%?투자기간6개월?등급A2?모집금액5,000만원?투자인원99명",2043,"송파","문정동",2,1,8.2,6,"A2",5000,99,"상환완료"
"제2012차 서산 테크노밸리 근린생활시설 신축사업 35차#1순위","수익률(연)14.5%?투자기간3개월?등급C3?모집금액3,000만원?투자인원20명",2012,"서산","테크노밸리",1,35,14.5,3,"C3",3000,20,"상환완료"
"제1985차 진안군청 인근 연립주택 신축사업 2순위#2순위","수익률(연)14%?투자기간5개월?등급D2?모집금액5억원?투자인원828명",1985,"진안군청","인근",2,2,14,5,"D2",50000,828,"상환완료"
"제1963차 동대문 답십리동 청계와이즈노벨리아아파트 담보상품#3순위","수익률(연)8.7%?투자기간12개월?등급A2?모집금액5,000만원?투자인원146명",1963,"동대문","답십리동",3,1,8.7,12,"A2",5000,146,"상환완료"
"제1957차 은평 응암동 백련산힐스테이트 3차아파트 담보상품 2차#3순위","수익률(연)8.7%?투자기간12개월?등급A2?모집금액7,700만원?투자인원181명",1957,"은평","응암동",3,2,8.7,12,"A2",7700,181,"상환완료"
"제1953차 제주 신화월드 인근 공동주택 신축사업 25차#1순위","수익률(연)12.21%?투자기간3개월?등급B1?모집금액18억2,718만원?투자인원2,630명",1953,"제주","신화월드",1,25,12.21,3,"B1",182718,2630,"상환완료"
"제1952차 제주 용수리 타운하우스 신축사업 리파이낸싱#1순위","수익률(연)13.5%?투자기간3개월?등급B2?모집금액23억원?투자인원3,128명",1952,"제주","용수리",1,1,13.5,3,"B2",23,3128,"상환완료"
"제1938차 고양 일산 하늘마을휴먼시아아파트 담보상품#2순위","수익률(연)9.5%?투자기간12개월?등급A2?모집금액7,000만원?투자인원160명",1938,"고양","일산",2,1,9.5,12,"A2",7000,160,"상환완료"
"제1922차 은평 응암동 백련산힐스테이트3차아파트 담보상품#3순위","수익률(연)8.7%?투자기간12개월?등급A2?모집금액5,300만원?투자인원174명",1922,"은평","응암동",3,1,8.7,12,"A2",5300,174,"상환완료"
"제1910차 강서 등촌동 등촌아이파크아파트 담보상품#1순위","수익률(연)8.5%?투자기간12개월?등급A2?모집금액2억원?투자인원328명",1910,"강서","등촌동",1,1,8.5,12,"A2",20000,328,"상환완료"
"제1899차 여주대 인근 기숙사형 다가구주택 D 신축사업 3차#1순위","수익률(연)12.49%?투자기간6개월?등급B2?모집금액5억1,290만원?투자인원824명",1899,"여주대","인근",1,3,12.49,6,"B2",51290,824,"상환완료"
"제1898차 여주대 인근 기숙사형 다가구주택 C 신축사업 7차#1순위","수익률(연)12.63%?투자기간8개월?등급B3?모집금액4억7,190만원?투자인원820명",1898,"여주대","인근",1,7,12.63,8,"B3",47190,820,"상환완료"
"제1895차 여주대 인근 기숙사형 다가구주택 B 신축사업 4차#1순위","수익률(연)12.77%?투자기간8개월?등급B3?모집금액4억6,190만원?투자인원776명",1895,"여주대","인근",1,4,12.77,8,"B3",46190,776,"상환완료"
"제1894차 여주대 인근 기숙사형 다가구주택 A 신축사업 5차#1순위","수익률(연)12.77%?투자기간6개월?등급B3?모집금액1억2,860만원?투자인원200명",1894,"여주대","인근",1,5,12.77,6,"B3",12860,200,"상환완료"
"제1883차 하남 덕풍동 풍산아이파크아파트 담보상품#2순위","수익률(연)9.2%?투자기간12개월?등급A2?모집금액3,000만원?투자인원47명",1883,"하남","덕풍동",2,1,9.2,12,"A2",3000,47,"상환완료"
"제1866차 서산 테크노밸리 근린생활시설 신축사업 34차#1순위","수익률(연)14.5%?투자기간4개월?등급C3?모집금액1억원?투자인원164명",1866,"서산","테크노밸리",1,34,14.5,4,"C3",10000,164,"상환완료"
"제1862차 합천아파트 신축사업 2순위 2차#2순위","수익률(연)14.5%?투자기간6개월?등급D2?모집금액2억5,000만원?투자인원411명",1862,"합천아파트","신축사업",2,2,14.5,6,"D2",25000,411,"상환완료"
"제1835차 서울 서교동 다세대 신축사업 6차#2순위","수익률(연)14%?투자기간8개월?등급D2?모집금액1억5,000만원?투자인원212명",1835,"서울","서교동",2,6,14,8,"D2",15000,212,"상환완료"
"제1822차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 6차#2순위","수익률(연)9%?투자기간11개월?등급A2?모집금액1,800만원?투자인원51명",1822,"화성","청계동",2,6,9,11,"A2",1800,51,"상환완료"
"제1814차 제주 신화월드 인근 공동주택 신축사업 24차#1순위","수익률(연)12.21%?투자기간4개월?등급B1?모집금액4억5,000만원?투자인원958명",1814,"제주","신화월드",1,24,12.21,4,"B1",45000,958,"상환완료"
"제1803차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 5차#2순위","수익률(연)9%?투자기간11개월?등급A2?모집금액3,600만원?투자인원119명",1803,"화성","청계동",2,5,9,11,"A2",3600,119,"상환완료"
"제1790차 서산 테크노밸리 근린생활시설 신축사업 33차#1순위","수익률(연)14.5%?투자기간4개월?등급C3?모집금액5,000만원?투자인원63명",1790,"서산","테크노밸리",1,33,14.5,4,"C3",5000,63,"상환완료"
"제1783차 여주대 인근 기숙사형 다가구주택 C 신축사업 6차#1순위","수익률(연)12.63%?투자기간8개월?등급B3?모집금액9,200만원?투자인원166명",1783,"여주대","인근",1,6,12.63,8,"B3",9200,166,"상환완료"
"제1782차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 4차#2순위","수익률(연)9%?투자기간11개월?등급A2?모집금액6,000만원?투자인원123명",1782,"화성","청계동",2,4,9,11,"A2",6000,123,"상환완료"
"제1776차 여주대 인근 기숙사형 다가구주택 C 신축사업 5차#1순위","수익률(연)12.63%?투자기간8개월?등급B3?모집금액1억4,500만원?투자인원326명",1776,"여주대","인근",1,5,12.63,8,"B3",14500,326,"상환완료"
"제1772차 은평 응암동 백련산힐스테이트 담보상품#3순위","수익률(연)8.7%?투자기간12개월?등급A2?모집금액7,000만원?투자인원138명",1772,"은평","응암동",3,1,8.7,12,"A2",7000,138,"상환완료"
"제1771차 제주 신화월드 인근 공동주택 신축사업 23차#1순위","수익률(연)12.21%?투자기간4개월?등급B1?모집금액12억원?투자인원1,572명",1771,"제주","신화월드",1,23,12.21,4,"B1",120000,1572,"상환완료"
"제1767차 여주대 인근 기숙사형 다가구주택 C 신축사업 4차#1순위","수익률(연)12.63%?투자기간8개월?등급B3?모집금액1억3,780만원?투자인원310명",1767,"여주대","인근",1,4,12.63,8,"B3",13780,310,"상환완료"
"제1765차 하남 덕풍동 풍산아이파크아파트 담보상품#1순위","수익률(연)9%?투자기간12개월?등급A2?모집금액2억8,000만원?투자인원497명",1765,"하남","덕풍동",1,1,9,12,"A2",28000,497,"상환완료"
"제1763차 서초 방배동 현대멤피스아파트 담보상품#2순위","수익률(연)8.5%?투자기간12개월?등급A2?모집금액3억원?투자인원486명",1763,"서초","방배동",2,1,8.5,12,"A2",30000,486,"상환완료"
"제1762차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 3차#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액3,300만원?투자인원88명",1762,"화성","청계동",2,3,9,12,"A2",3300,88,"상환완료"
"제1743차 수원 북수동 상가주택 신축사업A 8차#2순위","수익률(연)15%?투자기간5개월?등급D2?모집금액3,000만원?투자인원35명",1743,"수원","북수동",2,8,15,5,"D2",3000,35,"상환완료"
"제1742차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 2차#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액5,300만원?투자인원100명",1742,"화성","청계동",2,2,9,12,"A2",5300,100,"상환완료"
"제1739차 여주대 인근 기숙사형 다가구주택 C 신축사업 3차#1순위","수익률(연)12.63%?투자기간9개월?등급B3?모집금액1억8,420만원?투자인원370명",1739,"여주대","인근",1,3,12.63,9,"B3",18420,370,"상환완료"
"제1729차 은평 진관동 은평뉴타운제각말 푸르지오아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액7,000만원?투자인원136명",1729,"은평","진관동",2,1,9,6,"A2",7000,136,"상환완료"
"제1709차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액1억원?투자인원271명",1709,"화성","청계동",2,1,9,12,"A2",10000,271,"상환완료"
"제1703차 여주대 인근 기숙사형 다가구주택 B 신축사업 3차#1순위","수익률(연)12.77%?투자기간9개월?등급B3?모집금액5억1,140만원?투자인원1,061명",1703,"여주대","인근",1,3,12.77,9,"B3",51140,1061,"상환완료"
"제1701차 수원 북수동 상가주택 신축사업B 5차#2순위","수익률(연)15%?투자기간4개월?등급D2?모집금액3,000만원?투자인원55명",1701,"수원","북수동",2,5,15,4,"D2",3000,55,"상환완료"
"제1700차 수원 북수동 상가주택 신축사업A 7차#2순위","수익률(연)15%?투자기간5개월?등급D2?모집금액5,000만원?투자인원101명",1700,"수원","북수동",2,7,15,5,"D2",5000,101,"상환완료"
"제1691차 여주대 인근 기숙사형 다가구주택 B 신축사업 2차#1순위","수익률(연)12.77%?투자기간9개월?등급B3?모집금액4,830만원?투자인원130명",1691,"여주대","인근",1,2,12.77,9,"B3",4830,130,"상환완료"
"제1683차 고양 행신동 서정마을중흥에스클래스아파트 리파이낸싱#2순위","수익률(연)8.5%?투자기간3개월?등급A3?모집금액9,000만원?투자인원158명",1683,"고양","행신동",2,1,8.5,3,"A3",9000,158,"상환완료"
"제1682차 여주대 인근 기숙사형 다가구주택 D 신축사업 2차#1순위","수익률(연)12.49%?투자기간7개월?등급B2?모집금액5억1,660만원?투자인원978명",1682,"여주대","인근",1,2,12.49,7,"B2",51660,978,"상환완료"
"제1678차 여주대 인근 기숙사형 다가구주택 A 신축사업 4차#1순위","수익률(연)12.77%?투자기간7개월?등급B3?모집금액2억1,740만원?투자인원508명",1678,"여주대","인근",1,4,12.77,7,"B3",21740,508,"상환완료"
"제1672차 여주대 인근 기숙사형 다가구주택 D 신축사업 1차#1순위","수익률(연)12.49%?투자기간7개월?등급B2?모집금액7,050만원?투자인원243명",1672,"여주대","인근",1,1,12.49,7,"B2",7050,243,"상환완료"
"제1671차 여주대 인근 기숙사형 다가구주택 C 신축사업 2차#1순위","수익률(연)12.63%?투자기간9개월?등급B3?모집금액6,910만원?투자인원324명",1671,"여주대","인근",1,2,12.63,9,"B3",6910,324,"상환완료"
"제1663차 여주대 인근 기숙사형 다가구주택 A 신축사업 3차#1순위","수익률(연)12.77%?투자기간7개월?등급B3?모집금액1억8,320만원?투자인원361명",1663,"여주대","인근",1,3,12.77,7,"B3",18320,361,"상환완료"
"제1661차 진안군청 인근 연립주택 신축사업 11차#1순위","수익률(연)12.28%?투자기간5개월?등급B1?모집금액1억4,000만원?투자인원261명",1661,"진안군청","인근",1,11,12.28,5,"B1",14000,261,"상환완료"
"제1656차 인천 용현동 오피스텔 및 근린상가 신축사업 15차#1순위","수익률(연)12%?투자기간6개월?등급B1?모집금액1억5,000만원?투자인원327명",1656,"인천","용현동",1,15,12,6,"B1",15000,327,"상환완료"
"제1655차 서울 동선동 5가 다세대 신축사업 13차#2순위","수익률(연)15%?투자기간6개월?등급D2?모집금액1억2,000만원?투자인원241명",1655,"서울","동선동",2,13,15,6,"D2",12000,241,"상환완료"
"제1654차 서울 서교동 다세대 신축사업 5차#2순위","수익률(연)14%?투자기간10개월?등급D2?모집금액5,000만원?투자인원99명",1654,"서울","서교동",2,5,14,10,"D2",5000,99,"상환완료"
"제1646차 여주대 인근 기숙사형 다가구주택 B 신축사업 1차#1순위","수익률(연)12.77%?투자기간9개월?등급B3?모집금액4,840만원?투자인원165명",1646,"여주대","인근",1,1,12.77,9,"B3",4840,165,"상환완료"
"제1645차 여주대 인근 기숙사형 다가구주택 A 신축사업 2차#1순위","수익률(연)12.77%?투자기간7개월?등급B3?모집금액2억8,080만원?투자인원676명",1645,"여주대","인근",1,2,12.77,7,"B3",28080,676,"상환완료"
"제1637차 합천아파트 신축사업 2순위#2순위","수익률(연)14.5%?투자기간7개월?등급D2?모집금액4억원?투자인원634명",1637,"합천아파트","신축사업",2,2,14.5,7,"D2",40000,634,"상환완료"
"제1635차 화성 청계동 시범계룡리슈빌아파트 담보상품#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액1,000만원?투자인원31명",1635,"화성","청계동",2,1,9,12,"A2",1000,31,"상환완료"
"제1630차 합천아파트 신축사업 28차#1순위","수익률(연)12.98%?투자기간4개월?등급B2?모집금액2억원?투자인원334명",1630,"합천아파트","신축사업",1,28,12.98,4,"B2",20000,334,"상환완료"
"제1628차 제주 신화월드 인근 공동주택 신축사업 22차#1순위","수익률(연)12.21%?투자기간5개월?등급B1?모집금액3억5,000만원?투자인원675명",1628,"제주","신화월드",1,22,12.21,5,"B1",35000,675,"상환완료"
