"지역","번호","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET","역세권","주택","건물","투자유형","도시유형","lon","lat"
"",1421,"",1,17,13.1,2,"C1",5000,64,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1409,"",1,17,13.3,1,"C1",5000,49,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1408,"",1,18,13.1,1,"C1",5000,65,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1168,"",1,16,13.1,4,"C1",10000,172,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1064,"",1,15,13.1,5,"C1",10000,145,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1052,"",1,16,13.3,4,"C1",20000,245,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",1051,"",1,17,13.1,3,"C1",10000,123,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",969,"",1,15,13.3,5,"C1",10000,158,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",963,"",1,16,13.1,5,"C1",10000,69,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",959,"",1,14,13.1,6,"C1",10000,128,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",902,"",1,13,13.1,7,"C1",10000,208,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",901,"",1,15,13.1,5,"C1",20000,417,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",869,"",1,12,13.1,8,"C1",30000,459,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",868,"",1,14,13.1,6,"C1",10000,170,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",821,"",1,13,13.1,6,"C1",10000,185,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",810,"",1,14,13.3,7,"C1",30000,495,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",800,"",1,12,13.1,6,"C1",25000,473,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",794,"",1,11,13.1,8,"C1",10000,201,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",725,"",1,10,13.1,9,"C1",30000,439,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",669,"",1,11,13.1,8,"C1",10000,205,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",667,"",1,9,13.1,9,"C1",30000,461,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",666,"",1,13,13.3,8,"C1",30000,562,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",652,"",1,12,13.3,8,"C1",5000,104,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",633,"",1,10,13.1,8,"C1",10000,192,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",629,"",1,8,13.1,10,"C1",10000,149,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",622,"",1,11,13.3,8,"C1",10000,181,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",612,"",1,9,13.1,8,"C1",15000,276,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",603,"",1,7,13.1,10,"C1",20000,279,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",596,"",1,8,13.1,8,"C1",5000,128,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",595,"",1,10,13.3,8,"C1",15000,312,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",574,"",1,7,13.1,8,"C1",15000,232,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",542,"",1,6,13.1,10,"C1",5000,126,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",516,"",1,5,13.1,11,"C1",20000,345,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",515,"",1,9,13.3,9,"C1",30000,467,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",510,"",1,6,13.1,9,"C1",30000,446,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",499,"",1,4,13.1,11,"C1",30000,516,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",484,"",1,3,13.1,11,"C1",20000,414,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",482,"",1,2,13.1,11,"C1",10000,162,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",480,"",1,5,13.1,10,"C1",10000,196,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",479,"",1,8,13.3,10,"C1",20000,279,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",477,"",1,1,13.1,12,"C1",15000,410,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",470,"",1,4,13.1,10,"C1",10000,282,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",469,"",1,7,13.3,10,"C1",20000,428,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",447,"",1,6,13.3,11,"C1",10000,208,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",446,"",1,3,13.1,10,"C1",10000,204,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",444,"",1,5,13.3,11,"C1",10000,181,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",443,"",1,2,13.1,10,"C1",10000,196,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",436,"",1,4,13.3,11,"C1",20000,353,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",401,"",1,3,13.3,11,"C1",10000,164,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",395,"",1,2,13.3,11,"C1",15000,288,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",391,"",1,1,13.3,11,"C1",20000,418,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"",386,"",1,1,13.1,12,"C1",65000,914,"상환완료","0","0","렌탈하우스","신축",NA,NA,NA
"가평",1516,"",1,12,12.7,3,"B2",12000,159,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",1448,"",1,11,12.7,4,"B2",5000,68,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",1411,"",1,10,12.7,4,"B2",25000,644,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",1225,"",1,9,12.7,5,"B2",15000,383,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",1144,"",1,8,12.7,6,"B2",20000,393,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",965,"",1,7,12.7,8,"B2",35000,541,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
"가평",887,"",1,6,12.7,9,"B2",30000,495,"연체","0","1","연립주택","신축",NA,127.5098827,37.8315403
