"번호","지역","지역2","순위","차수","리파이낸싱","신축","다세대","연립주택","타운하우스","건축자금","담보","NPL","근질권","ABL","주택","오피스텔","신도시","개발지구","마을","아파트","빌딩","빌라","상가","단독주택","수익률","투자기간","등급","모집금액","투자인원","Y"
1564,"용인","메종_포레스트",1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",99912,1518,"1"
1558,"용인","메종_포레스트",1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",1e+05,1394,"1"
1554,"용인","메종_포레스트",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",1e+05,1583,"1"
1516,"가평","연립주택B_신축사업",1,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,3,"B2",12000,159,"1"
1470,"일산","고양국제고_인근",1,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,3,"B2",7000,83,"1"
1448,"가평","연립주택B_신축사업",1,11,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,4,"B2",5000,68,"1"
1411,"가평","연립주택B_신축사업",1,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,4,"B2",25000,644,"1"
1394,"일산","고양국제고_인근",1,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,3,"B2",12000,223,"1"
1355,"태안","버스터미널_인근",1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,"C1",84000,1494,"1"
1342,"태안","버스터미널_인근",1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,"C1",1e+05,1737,"1"
1331,"태안","버스터미널_인근",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,"C1",1e+05,1907,"1"
1240,"고양","대자동_다세대주택",1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.07,8,"B1",30000,798,"1"
1225,"가평","연립주택B_신축사업",1,9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,5,"B2",15000,383,"1"
1176,"경기","광주_수레실마을",1,18,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,7,"C1",16000,257,"1"
1144,"가평","연립주택B_신축사업",1,8,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,6,"B2",20000,393,"1"
1118,"고양","대자동_다세대주택",1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.07,9,"B1",40000,774,"1"
1091,"경기","광주_수레실마을",1,17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,8,"C1",10000,140,"1"
1035,"일산","고양국제고_인근",1,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,7,"B2",10000,179,"1"
1020,"고양","대자동_다세대주택",1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.07,10,"B1",35500,653,"1"
1019,"제주","애월_신엄리",1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.2,6,"B1",135000,2155,"1"
1015,"제주","애월_신엄리",1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.2,6,"B1",135000,1754,"1"
1014,"고양","대자동_다세대주택",1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.07,10,"B1",80000,1532,"1"
985,"경기","광주_수레실마을",1,16,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,10,"C1",20000,405,"1"
965,"가평","연립주택B_신축사업",1,7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,8,"B2",35000,541,"1"
964,"일산","고양국제고_인근",1,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,7,"B2",10000,130,"1"
887,"가평","연립주택B_신축사업",1,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,9,"B2",30000,495,"1"
879,"경기","광주_수레실마을",1,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,11,"C1",25000,534,"1"
877,"일산","고양국제고_인근",1,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,8,"B2",10000,123,"1"
843,"일산","고양국제고_인근",1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,9,"B2",5000,98,"1"
828,"일산","고양국제고_인근",1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,9,"B2",15000,349,"1"
813,"가평","연립주택B_신축사업",1,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,10,"B2",20000,463,"1"
796,"가평","24세대_연립주택",1,9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.63,6,"B2",20000,388,"1"
774,"가평","연립주택B_신축사업",1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,10,"B2",20000,307,"1"
762,"일산","고양국제고_인근",1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,10,"B2",23000,433,"1"
754,"가평","연립주택B_신축사업",1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,10,"B2",10000,243,"1"
730,"경기","광주_수레실마을",1,14,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,12,"C1",20000,393,"1"
